type,names,scores
univariate,Make,0.17037288948282253
univariate,VehiclePrice_num,0.10703522254881653
univariate,VehicleCategory,0.04524253679368919
univariate,AgeOfVehicle,0.09871187719107774
univariate,Sex,0.07549714988825722
univariate,MaritalStatus,0.051954056615524664
univariate,Age,0.9404127696852368
univariate,DriverRating,1.9333187794079831
univariate,AgeOfPolicyHolder,0.1776187286897221
univariate,NumberOfCars,0.0396388090975303
univariate,PastNumberOfClaims,0.09193412993465237
univariate,PolicyType,0.04523909294342902
univariate,Deductible,0.05044172972522134
univariate,AgentType,0.0
univariate,NumberOfSuppliments,0.1631124906016047
univariate,Days_Policy_Accident,0.010508440161333114
univariate,Days_Policy_Claim,0.00044339663880578977
univariate,PoliceReportFiled,0.08200558780642303
univariate,WitnessPresent,0.014683546800714212
univariate,AddressChange_Claim_2,0.02118738203343945
